DISTRICTWISE Ground water Level (in m.) Report (<ALL AGENCIES> - <2012> to <2020>),,,,,,,,,,
,,2012,2013,2014,2015,2016,2017,2018,2019,2020
STATE,DISTRICT,Level (m),Level (m),Level (m),Level (m),Level (m),Level (m),Level (m),Level (m),Level (m)
RAJASTHAN,HANUMANGARH,18.7,20.35,18.11,18.59,18.08,17.44,17.77,17.74,-
TELANGANA,NIZAMABAD,5.76,5.05,7.68,11.23,8.29,13.33,15.85,9.51,-
BIHAR,NALANDA,5.36,5.15,5.51,6.88,5.84,6.3,6.89,4.18,-
UTTAR PRADESH,KUSHINAGAR,4.33,4.18,3.44,5.18,4.38,4.47,3.1,11.37,6.76
UTTAR PRADESH,JALAUN,9.87,8.68,8.4,10.11,10.11,10.25,9.77,26.36,19.56
HARYANA,AMBALA,22.64,21.99,13.9,16.96,22.56,13.75,15.24,17.12,-
MADHYA PRADESH,WEST NIMAR,10.27,9.46,9.79,9.42,9.4,9.49,10.45,3.6,-
NAGALAND,ZUNHEBOTO,5.35,8.65,3.98,5.22,2.78,-,-,-,-
MADHYA PRADESH,NEEMUCH,12.65,9.68,11.73,17.22,11.4,11.65,11.83,3.59,-
UTTAR PRADESH,GONDA,4.09,3.81,3.78,5.31,5.45,5.47,5.1,13.21,13.98
MAHARASHTRA,SOLAPUR,11.15,9.57,8.09,10.74,9.7,8.4,11.19,3.58,-
ODISHA,BHADRAK,6.43,5.44,4.17,4.42,3.66,3.29,3.67,0.89,-
UTTAR PRADESH,GAUTAM BUDDHA NAGAR,12.7,12.75,13.54,14.95,12.78,15.58,16.84,17.12,20.7
UTTAR PRADESH,VARANASI,12.17,11.52,8.97,11.3,11.57,11.6,10.62,10.83,11.65
GUJARAT,RAJKOT,10.67,8.91,10.77,10.77,10.52,11.32,10.94,4,-
ODISHA,CUTTACK,4.43,4.07,4.03,4.78,4.9,4.54,3.88,2.08,-
MADHYA PRADESH,REWA,11.38,9.97,10.27,10.76,12.22,12.55,11.01,4.11,-
KARNATAKA,CHITRADURGA,14.45,11.19,11.57,8.49,10.44,12.91,15.99,5.03,-
UTTAR PRADESH,CHANDAULI,5.84,5.42,3.6,7.15,7.04,7.52,7.56,10.86,11.71
ODISHA,ANUGUL,6.53,5.87,6.19,7.16,6.61,6.62,5.98,3.36,-
UTTAR PRADESH,AMBEDKAR NAGAR,5.29,5.41,5.23,6.36,6.05,6.08,6.4,11.12,9.58
KARNATAKA,MYSORE,10.97,9.33,8.05,9.01,9.14,8.61,7.67,5.62,-
TAMILNADU,THANJAVUR,6.74,6.12,11.01,10.03,6.07,6.87,6.09,3.02,-
GUJARAT,NAVSARI,8.47,7.7,8.15,8.49,8.89,9.57,6.64,2.44,-
UTTAR PRADESH,JYOTIBA PHULE NAGAR,10.6,10.25,12.15,12.94,13.6,13.92,12.95,15.14,18.36
ARUNACHAL PRADESH,ANJAW,4.44,3.79,3.51,3.23,4.05,5.23,4.65,3.5,-
SIKKIM,NORTH,-,-,-,-,-,-,-,-,-
MEGHALAYA,EAST KHASI HILLS,1.94,3.5,1.58,1.53,0.88,1.67,1.33,1.03,-
KARNATAKA,HASSAN,10.45,8.77,8.09,9.14,9.44,11.19,11.48,6.41,-
BIHAR,SUPAUL,2.98,3.11,3.05,2.82,3.07,2.9,3.41,2.26,-
GUJARAT,BHARUCH,8.79,7.8,11.57,8.58,7.91,8.69,8.23,4.51,-
MADHYA PRADESH,TIKAMGARH,8.58,5.97,7.82,9.64,10.18,10.84,8.64,4.28,-
MANIPUR,CHANDEL,-,-,-,-,-,-,-,-,-
PUNJAB,AMRITSAR,12.98,12.78,13.37,13.5,13.85,14.89,14.44,14.98,-
MAHARASHTRA,NAGPUR,8.37,6.57,7.93,8.84,9.25,9.19,9.29,5.54,-
NAGALAND,TUENSANG,5.17,8.57,4.15,4.59,2.62,-,-,-,-
KARNATAKA,DAVANAGERE,8.41,7.07,6.83,7.22,9.54,7.83,10.5,4.74,-
HIMACHAL PRADESH,MANDI,4.45,4.24,3.75,4.05,4.77,4.62,4.53,3.55,-
MADHYA PRADESH,BETUL,9.18,11.29,9.87,10.59,11.03,9.86,10.72,3.64,-
UTTAR PRADESH,AZAMGARH,5.94,5.3,5.62,6.76,5.92,6.28,6.39,10.83,11.35
GUJARAT,PANCH MAHALS,8.61,7.79,11.59,11.32,10.41,10.42,10.35,4.68,-
UTTAR PRADESH,BAGHPAT,16.65,16.16,14.87,16.06,13.11,16.35,13.76,17.51,19.76
BIHAR,JAMUI,7.47,8.46,9.28,8.26,7.82,8.43,8.89,4.6,-
ARUNACHAL PRADESH,PAPUM PARE,5.13,6.42,7.19,7.16,7.85,7.3,6.15,5.45,-
UTTARAKHAND,DEHRADUN,19.14,10.84,13.28,13.05,12.41,12.66,12.52,12.33,-
KERALA,THRISSUR,7.31,6.97,6.7,6.9,7.5,7.18,7.29,1.86,-
PUNJAB,JALANDHAR,21.72,20.56,20.88,23.12,25.04,24.69,23.72,24.59,-
MANIPUR,IMPHAL EAST,-,-,-,-,-,-,-,-,-
MADHYA PRADESH,DAMOH,12.03,9.31,10.13,5.9,12.12,12.17,10.7,4.48,-
MANIPUR,TAMENGLONG,-,-,-,-,-,-,-,-,-
GUJARAT,BANAS KANTHA,42.18,49.28,43.97,43.36,43.32,44.42,49.73,42.95,-
GOA,NORTH GOA,6.4,6.2,6.34,5.67,3.83,5.04,5.44,3.41,-
CHHATTISGARH,SURGUJA,5.32,6.49,9.68,9.27,8.82,8.37,8.1,3.71,-
HARYANA,HISAR,8.45,8.16,7.88,8.44,8.85,8.64,10.4,7.94,-
UTTARAKHAND,TEHRI GARHWAL,15.78,11.84,15.67,14.98,13.27,16.05,11.99,12.16,-
HARYANA,JIND,12.8,11.74,13.5,13.85,13.42,14.88,15.09,13.68,-
SIKKIM,SOUTH,-,-,-,-,-,-,-,-,-
MIZORAM,CHAMPHAI,-,-,-,-,-,-,-,-,-
ANDHRA PRADESH,VIZIANAGARAM,5.92,6.27,6.42,6.74,7.54,6.62,7.57,6.28,6.16
ARUNACHAL PRADESH,CHANGLANG,4.67,3.64,3.69,3.46,3.55,3.76,4.81,3.22,-
GUJARAT,GANDHINAGAR,69.69,77.53,68.56,69.09,70.13,70.76,75.71,69.54,-
BIHAR,SITAMARHI,3.74,3.63,3.37,4.97,3.55,3.47,4.25,2.5,-
JHARKHAND,CHATRA,9.2,9.27,7.87,9.12,9.37,9.09,11.07,6.37,-
WEST BENGAL,BANKURA,6.21,5.65,5.94,7.33,6.36,5.77,5.7,6.46,-
UTTAR PRADESH,PILIBHIT,4.18,4.28,4.25,4.52,4.27,4.57,4.37,12.37,22.89
TELANGANA,KHAMMAM,1.67,1.77,1.6,2.44,3.02,6.66,8.81,6.7,-
RAJASTHAN,BHARATPUR,11.56,13.18,13.48,15.04,14.3,15.81,15.55,14.59,-
JHARKHAND,PURBI SINGHBHUM,10.39,7.46,7.62,8.74,9.23,7.34,5.97,2.87,-
KARNATAKA,TUMKUR,16.5,15.3,13.23,5.96,7.85,11.58,16.37,5.51,-
WEST BENGAL,DAKSHIN DINAJPUR,8.19,8.86,6.88,8.97,5.63,6.84,6.37,2.77,-
WEST BENGAL,DARJILING,5.36,5.64,5.01,5.72,5.59,4.28,5,1.82,-
PUNJAB,SANGRUR,28.54,27.49,29.14,29.55,31.5,32.96,33.42,34.43,-
HARYANA,JHAJJAR,7.06,6.02,6.12,6.24,5.28,6.28,5.3,4.84,-
PUNJAB,BARNALA,25.16,26.12,26.63,28.85,30.45,32.14,33.79,35.41,-
RAJASTHAN,DUNGARPUR,7.95,8.59,7.16,8.86,7.91,9.21,7.94,2.13,-
ANDHRA PRADESH,WEST GODAVARI,15.33,14.94,17.55,19.54,20.56,15.15,15.68,19.24,20.74
MAHARASHTRA,DHULE,11.34,8.14,8.5,10.04,8.78,9.36,12.17,8.31,-
MAHARASHTRA,NANDED,8.34,6.98,9.54,10.71,9.5,9.85,9.65,3.84,-
MADHYA PRADESH,RAISEN,9.92,8.92,9.2,9.04,9.95,9.96,11.03,3.77,-
TAMILNADU,THIRUVALLUR,5.53,5.52,11.46,12.95,5.49,5.67,12.89,4.17,-
JHARKHAND,KODARMA,8.09,6.68,4.31,7.25,8.47,7.2,8.51,4.78,-
TAMILNADU,SALEM,12.03,16.4,16.08,16.18,14.84,11.57,13.49,7.47,-
UTTAR PRADESH,MAHARAJGANJ,4.08,3.61,3.33,4.41,4.36,4.56,4.08,11.52,9.14
HARYANA,KURUKSHETRA,31.65,30.68,33.86,33.66,35.64,36.76,45.76,35.84,-
WEST BENGAL,NORTH 24 PARGANAS,6.36,6.45,6.29,6.43,7.65,6.58,6.45,4.94,-
MADHYA PRADESH,SHIVPURI,11.01,9.53,11.08,10.36,12.31,13.09,11.13,3.59,-
MAHARASHTRA,BULDANA,12.29,9.15,10.18,11.54,12.04,11.6,12.6,8.17,-
TAMILNADU,PUDUKKOTTAI,6.38,7.08,9.93,10.11,7.57,8.21,8.82,3.51,-
RAJASTHAN,GANGANAGAR,14.29,14.57,13.95,13.26,13.88,13.62,13.06,13.4,-
KERALA,ALAPPUZHA,4.23,4.18,4.24,3.35,3.93,3.85,3.91,2.19,-
JHARKHAND,RAMGARH,7.5,7.12,5.2,7.68,7.33,6.68,7.53,2.71,-
JHARKHAND,GODDA,9.27,7.72,7.4,7.93,8.22,7.25,6.72,3.91,-
UTTAR PRADESH,BASTI,4.31,3.91,4.08,5.12,5.06,5.2,5.15,11.43,6.86
ODISHA,KENDRAPARA,4.03,3.88,2.98,3.38,2.84,3.07,2.93,1.54,-
UTTARAKHAND,UDHAM SINGH NAGAR,6.12,7.8,5.82,5.53,6.05,8.59,7.53,6.03,-
ASSAM,GOLAGHAT,4.65,4.34,5.32,5.14,5.21,4.15,5.47,3.21,-
JAMMU & KASHMIR,UDHAMPUR,4.07,2.42,2.51,4.07,3.62,5.06,3.46,1.33,-
KARNATAKA,UTTARA KANNADA,9.77,7.77,7.77,8.1,8.06,8.07,9.03,4.14,-
UTTAR PRADESH,CHITRAKOOT,10.92,8.87,11.38,12.92,10.52,9.93,13.64,15,17.24
UTTAR PRADESH,SAHARANPUR,8.63,9.51,9.13,10.09,10.85,10.65,9.54,15.98,20.5
ODISHA,RAYAGADA,5.38,5.35,4.48,5.74,6.01,5.15,4.95,2.75,-
UTTAR PRADESH,SANT KABIR NAGAR,4.25,4.16,4.04,5.31,5.35,4.98,5.37,11.36,7.13
HARYANA,SIRSA,16.2,15.18,16.09,16.89,13.18,15.42,18.98,11.84,-
UTTAR PRADESH,SONBHADRA,8.5,8.07,5.68,8.11,7.29,9.11,9.29,10.91,12.56
TRIPURA,NORTH TRIPURA,5.34,5.31,4.46,4.35,4.53,4.47,3.24,3.14,-
