state,district,station,category
andaman & nicobar is,n & m andaman,porlob island,safe
andaman & nicobar is,n & m andaman,north passage island,safe
andaman & nicobar is,n & m andaman,interview island,safe
andaman & nicobar is,n & m andaman,stewart island,safe
andaman & nicobar is,n & m andaman,narcondam island,safe
andaman & nicobar is,n & m andaman,strait island,safe
andaman & nicobar is,n & m andaman,aves island,safe
andaman & nicobar is,n & m andaman,baratang island,safe
andaman & nicobar is,n & m andaman,long island,safe
andaman & nicobar is,n & m andaman,smith island,safe
andaman & nicobar is,n & m andaman,north andaman,safe
andaman & nicobar is,n & m andaman,middle andaman,safe
andaman & nicobar is,n & m andaman,east island,saline
andaman & nicobar is,nicobar,bampooka island,safe
andaman & nicobar is,nicobar,kondul island,safe
andaman & nicobar is,nicobar,trinket island,safe
andaman & nicobar is,nicobar,tillangchang island,safe
andaman & nicobar is,nicobar,little nicobar island,safe
andaman & nicobar is,nicobar,great nicobar island,safe
andaman & nicobar is,nicobar,pulo milo island,safe
andaman & nicobar is,nicobar,katchal island,safe
andaman & nicobar is,nicobar,car nicobar island,safe
andaman & nicobar is,nicobar,kamorta island,safe
andaman & nicobar is,nicobar,nancowrie island,safe
andaman & nicobar is,nicobar,chowra island,safe
andaman & nicobar is,nicobar,teressa island,safe
andaman & nicobar is,south andaman,john lawrence island,safe
andaman & nicobar is,south andaman,peel island,safe
andaman & nicobar is,south andaman,viper island,safe
andaman & nicobar is,south andaman,flatbay island,safe
andaman & nicobar is,south andaman,north sentinnel island,safe
andaman & nicobar is,south andaman,rutland island,safe
andaman & nicobar is,south andaman,little andaman,safe
andaman & nicobar is,south andaman,havelock island,safe
andaman & nicobar is,south andaman,neil island,safe
andaman & nicobar is,south andaman,south andaman,safe
andhra pradesh,anantapur,agali,over_exploited
andhra pradesh,anantapur,amadagur,over_exploited
andhra pradesh,anantapur,amarapuram,over_exploited
andhra pradesh,anantapur,anantapur mandal,safe
andhra pradesh,anantapur,atmakur,semi-critical
andhra pradesh,anantapur,bathalapalle,safe
andhra pradesh,anantapur,beluguppa,safe
andhra pradesh,anantapur,bommanahal,safe
andhra pradesh,anantapur,brahmasamudram,critical
andhra pradesh,anantapur,bukkapatnam,safe
andhra pradesh,anantapur,bukkarayasamudram,safe
andhra pradesh,anantapur,chenne kothapalle,safe
andhra pradesh,anantapur,chilamathur,over_exploited
andhra pradesh,anantapur,d hirchal,safe
andhra pradesh,anantapur,dharmavaram,safe
andhra pradesh,anantapur,garladinne,safe
andhra pradesh,anantapur,gooty,safe
andhra pradesh,anantapur,gorantla,over_exploited
andhra pradesh,anantapur,gudibanda,over_exploited
andhra pradesh,anantapur,gummagatta,safe
andhra pradesh,anantapur,guntakal,safe
andhra pradesh,anantapur,hindupur,over_exploited
andhra pradesh,anantapur,kadiri,safe
andhra pradesh,anantapur,kalyandurg,safe
andhra pradesh,anantapur,kambadur,critical
andhra pradesh,anantapur,kanaganapalle,safe
andhra pradesh,anantapur,kanekal,safe
andhra pradesh,anantapur,kothacheruvu,over_exploited
andhra pradesh,anantapur,kudair,semi-critical
andhra pradesh,anantapur,kundurpi,semi-critical
andhra pradesh,anantapur,lepakshi,semi-critical
andhra pradesh,anantapur,madakasira,over_exploited
andhra pradesh,anantapur,mudigubba,semi-critical
andhra pradesh,anantapur,nallacheruvu,critical
andhra pradesh,anantapur,nallamada,over_exploited
andhra pradesh,anantapur,nambulipulikunta,safe
andhra pradesh,anantapur,narpala,safe
andhra pradesh,anantapur,obuladevaracheruvu,critical
andhra pradesh,anantapur,pamidi,safe
andhra pradesh,anantapur,parigi,over_exploited
andhra pradesh,anantapur,peddapappur,safe
andhra pradesh,anantapur,peddavadugur,safe
andhra pradesh,anantapur,penu konda,safe
andhra pradesh,anantapur,putlur,over_exploited
andhra pradesh,anantapur,puttaparthi,critical
andhra pradesh,anantapur,ramagiri,safe
andhra pradesh,anantapur,raptadu,safe
andhra pradesh,anantapur,rayadurg,safe
andhra pradesh,anantapur,roddam,over_exploited
andhra pradesh,anantapur,rolla,over_exploited
andhra pradesh,anantapur,settur,over_exploited
andhra pradesh,anantapur,singanamala,safe
andhra pradesh,anantapur,somandepalle,semi-critical
andhra pradesh,anantapur,tadimarri,semi-critical
andhra pradesh,anantapur,tadpatri,over_exploited
andhra pradesh,anantapur,talupula,over_exploited
andhra pradesh,anantapur,tanakal,over_exploited
andhra pradesh,anantapur,uravakonda,safe
andhra pradesh,anantapur,vajrakarur,safe
andhra pradesh,anantapur,vidapanakal,safe
andhra pradesh,anantapur,yadiki,over_exploited
andhra pradesh,anantapur,yellanur,over_exploited
andhra pradesh,chittoor,b kothakota,safe
andhra pradesh,chittoor,baireddi palle,semi-critical
andhra pradesh,chittoor,bangarupalem,safe
andhra pradesh,chittoor,buchinaidu khandri,safe
andhra pradesh,chittoor,chandragiri,safe
andhra pradesh,chittoor,chinnagottigallu,semi-critical
andhra pradesh,chittoor,chittoor mandal,semi-critical
andhra pradesh,chittoor,chowdepalle,safe
andhra pradesh,chittoor,gangadhara nellore,semi-critical
andhra pradesh,chittoor,gangavaram,safe
andhra pradesh,chittoor,gudipala,safe
andhra pradesh,chittoor,gurramkonda,semi-critical
andhra pradesh,chittoor,irala,safe
andhra pradesh,chittoor,k v b puram,safe
andhra pradesh,chittoor,kalakada,safe
andhra pradesh,chittoor,kalikiri,semi-critical
andhra pradesh,chittoor,kambhamvaripalle,safe
andhra pradesh,chittoor,karvetinagar,semi-critical
andhra pradesh,chittoor,kuppam,safe
andhra pradesh,chittoor,kurabalakota,safe
andhra pradesh,chittoor,mandapalle,safe
andhra pradesh,chittoor,mulakalacheruvu,safe
andhra pradesh,chittoor,nagalapuram,safe
andhra pradesh,chittoor,nagari,safe
andhra pradesh,chittoor,narayanavanam,safe
andhra pradesh,chittoor,nimmanapalle,safe
andhra pradesh,chittoor,nindra,over_exploited
andhra pradesh,chittoor,pakala,critical
andhra pradesh,chittoor,palamaner,safe
andhra pradesh,chittoor,palasamudram,semi-critical
andhra pradesh,chittoor,pedda panjani,critical
andhra pradesh,chittoor,peddamandyam,safe
andhra pradesh,chittoor,peddathippasamudra,safe
andhra pradesh,chittoor,penumuru,critical
andhra pradesh,chittoor,pichatur,safe
andhra pradesh,chittoor,pileru,semi-critical
andhra pradesh,chittoor,pulicherla,critical
andhra pradesh,chittoor,punganur,semi-critical
andhra pradesh,chittoor,puthalapattu,over_exploited
andhra pradesh,chittoor,puttur,safe
andhra pradesh,chittoor,rama kuppam,critical
andhra pradesh,chittoor,ramachandrapuram-17,critical
andhra pradesh,chittoor,ramasamudram,over_exploited
andhra pradesh,chittoor,renigunta,safe
andhra pradesh,chittoor,rompicherla,safe
andhra pradesh,chittoor,santhi puram,critical
andhra pradesh,chittoor,satyavedu,safe
andhra pradesh,chittoor,sodam,safe
andhra pradesh,chittoor,somala,safe
andhra pradesh,chittoor,srikalahasti,safe
andhra pradesh,chittoor,srirangarajapuram,critical
andhra pradesh,chittoor,thamballapalle,safe
andhra pradesh,chittoor,thavanampalle,critical
andhra pradesh,chittoor,thottambedu,safe
andhra pradesh,chittoor,tirupati,over_exploited
andhra pradesh,chittoor,tirupati urban,safe
andhra pradesh,chittoor,vadamalapeta,semi-critical
andhra pradesh,chittoor,valmikipuram,safe
andhra pradesh,chittoor,varadaiahpalem,safe
andhra pradesh,chittoor,veduru kuppam,safe
andhra pradesh,chittoor,venkatagiri kota,critical
andhra pradesh,chittoor,vijaya puram,safe
andhra pradesh,chittoor,yadamari,safe
andhra pradesh,chittoor,yarravaripalem,safe
andhra pradesh,chittoor,yerpedu,safe
andhra pradesh,east godavari,addateegala,safe
andhra pradesh,east godavari,ainavilli,safe
andhra pradesh,east godavari,allavaram,saline
andhra pradesh,east godavari,amalapuram,safe
andhra pradesh,east godavari,ambajipeta,safe
andhra pradesh,east godavari,anaparthi,safe
andhra pradesh,east godavari,atreyapuram,safe
andhra pradesh,east godavari,biccavolu,safe
andhra pradesh,east godavari,chintur,safe
andhra pradesh,east godavari,devipatnam,safe
andhra pradesh,east godavari,gandepalle,safe
andhra pradesh,east godavari,gangavaram (east god,safe
andhra pradesh,east godavari,gokavaram,safe
andhra pradesh,east godavari,gollaprolu,safe
andhra pradesh,east godavari,i polavaram,saline
andhra pradesh,east godavari,jaggampeta,safe
andhra pradesh,east godavari,kadiam,safe
andhra pradesh,east godavari,kajuluru,saline
andhra pradesh,east godavari,kakinada (rural),safe
andhra pradesh,east godavari,kakinada (urban),safe
andhra pradesh,east godavari,kapileswarapuram,safe
andhra pradesh,east godavari,karapa,saline
andhra pradesh,east godavari,katrenikona,saline
andhra pradesh,east godavari,kirlampudi,safe
andhra pradesh,east godavari,korukonda,safe
andhra pradesh,east godavari,kotananduru,safe
andhra pradesh,east godavari,kothapallee,safe
andhra pradesh,east godavari,kothapeta,safe
andhra pradesh,east godavari,kunavaram,safe
andhra pradesh,east godavari,malikipuram,saline
andhra pradesh,east godavari,mamidikuduru,saline
andhra pradesh,east godavari,mandapeta,safe
andhra pradesh,east godavari,maredumilli,safe
andhra pradesh,east godavari,mummidivaram,safe
andhra pradesh,east godavari,nellipaka,safe
andhra pradesh,east godavari,p gannavaram,safe
andhra pradesh,east godavari,pamarru (east godavar,safe
andhra pradesh,east godavari,pedapudi,safe
andhra pradesh,east godavari,peddapuram,safe
andhra pradesh,east godavari,pithapuram,safe
andhra pradesh,east godavari,prathipadu (east godav,safe
andhra pradesh,east godavari,rajahmundry (urban),safe
andhra pradesh,east godavari,rajahmundry rural,safe
andhra pradesh,east godavari,rajanagaram,safe
andhra pradesh,east godavari,rajavommangi,safe
andhra pradesh,east godavari,ramachandrapuram,safe
andhra pradesh,east godavari,rampachodavaram,safe
andhra pradesh,east godavari,rangampeta,semi-critical
andhra pradesh,east godavari,ravulapalem,safe
andhra pradesh,east godavari,rayavaram,safe
andhra pradesh,east godavari,razole,safe
andhra pradesh,east godavari,routhulapudi,safe
andhra pradesh,east godavari,sakhinetipalle,saline
andhra pradesh,east godavari,samalkota,safe
andhra pradesh,east godavari,sankhavaram,safe
andhra pradesh,east godavari,seethanagaram,safe
andhra pradesh,east godavari,thallarevu,saline
andhra pradesh,east godavari,thondangi,safe
andhra pradesh,east godavari,tuni,safe
andhra pradesh,east godavari,vararamachandrapur,safe
andhra pradesh,east godavari,y ramavaram,safe
andhra pradesh,east godavari,yeleswaram,semi-critical
andhra pradesh,guntur,achampeta,safe
andhra pradesh,guntur,amaravathi,safe
andhra pradesh,guntur,amruthalur,safe
andhra pradesh,guntur,bapatla,safe
andhra pradesh,guntur,bellamkonda,safe
andhra pradesh,guntur,bhattiprolu,safe
andhra pradesh,guntur,bollapalle,over_exploited
andhra pradesh,guntur,chebrole,safe
andhra pradesh,guntur,cherukupalle,safe
andhra pradesh,guntur,chilakaluripet,safe
andhra pradesh,guntur,dachepalle,safe
andhra pradesh,guntur,duggirala,safe
andhra pradesh,guntur,durgi,safe
andhra pradesh,guntur,edlapadu,safe
andhra pradesh,guntur,guntur mandal,safe
andhra pradesh,guntur,gurazala,safe
andhra pradesh,guntur,ipuru,safe
andhra pradesh,guntur,kakumanu,safe
andhra pradesh,guntur,karempudi,semi-critical
andhra pradesh,guntur,karlapalem,safe
andhra pradesh,guntur,kollipara,safe
andhra pradesh,guntur,kollur,safe
andhra pradesh,guntur,krosuru,safe
andhra pradesh,guntur,machavaram,safe
andhra pradesh,guntur,macherla,safe
andhra pradesh,guntur,mangalagiri,safe
andhra pradesh,guntur,medikonduru,safe
andhra pradesh,guntur,muppalla,safe
andhra pradesh,guntur,nadendla,safe
andhra pradesh,guntur,nagaram,safe
andhra pradesh,guntur,nakarikallu,safe
andhra pradesh,guntur,narasaraopeta,safe
andhra pradesh,guntur,nizampatnam,safe
andhra pradesh,guntur,nuzendla,safe
andhra pradesh,guntur,pedakakani,safe
andhra pradesh,guntur,pedakurapadu,safe
andhra pradesh,guntur,pedanandipadu,saline
andhra pradesh,guntur,phirangipuram,safe
andhra pradesh,guntur,piduguralla,safe
andhra pradesh,guntur,pittalavanipalem,safe
andhra pradesh,guntur,ponnur,safe
andhra pradesh,guntur,prathipadu,safe
andhra pradesh,guntur,rajupalem,safe
andhra pradesh,guntur,rentachintala,safe
andhra pradesh,guntur,repalle,safe
andhra pradesh,guntur,rompicherla (guntur),safe
andhra pradesh,guntur,sattenapalle,safe
andhra pradesh,guntur,savalyapuram,safe
andhra pradesh,guntur,tadikonda,safe
andhra pradesh,guntur,tenali,safe
andhra pradesh,guntur,thadepalle,safe
andhra pradesh,guntur,thullur,safe
andhra pradesh,guntur,tsundur,safe
andhra pradesh,guntur,vatticherukuru,saline
andhra pradesh,guntur,vemuru,safe
andhra pradesh,guntur,vinukonda,safe
andhra pradesh,kadapa,atlur,safe
andhra pradesh,kadapa,b kodur,semi-critical
andhra pradesh,kadapa,badvel,safe
andhra pradesh,kadapa,brahmamgarimattam,semi-critical
andhra pradesh,kadapa,chaknayapet,safe
andhra pradesh,kadapa,chapad,semi-critical
andhra pradesh,kadapa,chennur,safe
andhra pradesh,kadapa,chinnamandem,over_exploited
andhra pradesh,kadapa,chintha kommadinne,semi-critical
andhra pradesh,kadapa,chitvel,semi-critical
andhra pradesh,kadapa,cuddapah mandal,safe
andhra pradesh,kadapa,duvvur,semi-critical
andhra pradesh,kadapa,galiveedu,safe
andhra pradesh,kadapa,gopavaram,semi-critical
andhra pradesh,kadapa,jammalamadugu,semi-critical
andhra pradesh,kadapa,kalasapadu,safe
andhra pradesh,kadapa,kamalapuram,over_exploited
andhra pradesh,kadapa,khajipet,safe
andhra pradesh,kadapa,kodur,over_exploited
andhra pradesh,kadapa,kondapuram,safe
andhra pradesh,kadapa,lakkireddipalle,semi-critical
andhra pradesh,kadapa,lingala,over_exploited
andhra pradesh,kadapa,muddanur,safe
andhra pradesh,kadapa,mylavaram,safe
andhra pradesh,kadapa,nandalur,safe
andhra pradesh,kadapa,obulavaripalle,over_exploited
andhra pradesh,kadapa,peddamudium,safe
andhra pradesh,kadapa,penagaluru,critical
andhra pradesh,kadapa,pendlimarri,safe
andhra pradesh,kadapa,porumamilla,critical
andhra pradesh,kadapa,proddutur,safe
andhra pradesh,kadapa,pulivendla,safe
andhra pradesh,kadapa,pullampeta,over_exploited
andhra pradesh,kadapa,rajampet,critical
andhra pradesh,kadapa,raju palem,safe
andhra pradesh,kadapa,ramapuram,semi-critical
andhra pradesh,kadapa,royachoti,semi-critical
andhra pradesh,kadapa,s mydukur,safe
andhra pradesh,kadapa,sambepalle,over_exploited
andhra pradesh,kadapa,sidhout,semi-critical
andhra pradesh,kadapa,simhadripuram,critical
andhra pradesh,kadapa,sri avadhutha kasinaya,semi-critical
andhra pradesh,kadapa,t sundupalle,safe
andhra pradesh,kadapa,thandur,semi-critical
andhra pradesh,kadapa,vallur,semi-critical
andhra pradesh,kadapa,veeraballe,safe
andhra pradesh,kadapa,veerapunayunipalle,semi-critical
andhra pradesh,kadapa,vempalle,over-exploited
andhra pradesh,kadapa,vemula,over-exploited
andhra pradesh,kadapa,vontimitta,safe
andhra pradesh,kadapa,yerraguntla,safe
andhra pradesh,krishna,a konduru,safe
andhra pradesh,krishna,agiripalle,safe
andhra pradesh,krishna,avanigada,safe
andhra pradesh,krishna,bantumilli,saline
andhra pradesh,krishna,challapalle,safe
andhra pradesh,krishna,chandarlapadu,safe
andhra pradesh,krishna,chatrai,safe
andhra pradesh,krishna,g konduru,safe
andhra pradesh,krishna,gampalagudem,safe
andhra pradesh,krishna,gannavaram,safe
andhra pradesh,krishna,ghantasala,safe
andhra pradesh,krishna,gudivada,safe
andhra pradesh,krishna,gudlavalleru,saline
andhra pradesh,krishna,gudur (krishna),saline
andhra pradesh,krishna,ibrahimpatnam,safe
andhra pradesh,krishna,jaggayyapeta,safe
andhra pradesh,krishna,kaikalur,saline
andhra pradesh,krishna,kalidindi,saline
andhra pradesh,krishna,kanchika cherla,safe
andhra pradesh,krishna,kankipadu,safe
andhra pradesh,krishna,koduru,saline
andhra pradesh,krishna,kruthivennu,saline
andhra pradesh,krishna,machilipatnam,saline
andhra pradesh,krishna,mandavalli,saline
andhra pradesh,krishna,mopidevi,safe
andhra pradesh,krishna,movva,safe
andhra pradesh,krishna,mudinapalle,saline
andhra pradesh,krishna,musunuru,over-exploited
andhra pradesh,krishna,mylavaram (krishna),safe
andhra pradesh,krishna,nagayalanka,saline
andhra pradesh,krishna,nandigama,safe
andhra pradesh,krishna,nandivada,saline
andhra pradesh,krishna,nuzvid,semi-critical
andhra pradesh,krishna,pamarru,safe
andhra pradesh,krishna,pamidimukkala,safe
andhra pradesh,krishna,pedana,saline
andhra pradesh,krishna,pedaparupudi,safe
andhra pradesh,krishna,penamaluru,safe
andhra pradesh,krishna,penuganchiprolu,safe
andhra pradesh,krishna,reddigudem,safe
andhra pradesh,krishna,thotlavalluru,safe
andhra pradesh,krishna,tiruvuru,safe
andhra pradesh,krishna,unguturu,safe
andhra pradesh,krishna,vatsavai,safe
andhra pradesh,krishna,veerullapadu,safe
andhra pradesh,krishna,vijayawada rural,safe
andhra pradesh,krishna,vijayawada urban,safe
andhra pradesh,krishna,vissannapet,safe
andhra pradesh,krishna,vuyyuru,safe
andhra pradesh,kurnool,adoni,safe
andhra pradesh,kurnool,allagadda,safe
andhra pradesh,kurnool,alur,safe
andhra pradesh,kurnool,aspari,safe
andhra pradesh,kurnool,atmakur (kurnool),safe
andhra pradesh,kurnool,banaganapalle,safe
andhra pradesh,kurnool,bandi atmakur,safe
andhra pradesh,kurnool,bethamcherla,semi-critical
andhra pradesh,kurnool,c belagal,safe
andhra pradesh,kurnool,chagalamarri,critical
andhra pradesh,kurnool,chippagiri,safe
andhra pradesh,kurnool,devanakonda,safe
andhra pradesh,kurnool,dornipadu,safe
andhra pradesh,kurnool,gadivemula,safe
andhra pradesh,kurnool,gonegandla,semi-critical
andhra pradesh,kurnool,gospadu,safe
andhra pradesh,kurnool,gudur (kurnool),safe
andhra pradesh,kurnool,halaharvi,safe
andhra pradesh,kurnool,holagunda,safe
andhra pradesh,kurnool,jupadu bungalow,safe
andhra pradesh,kurnool,kallur,safe
andhra pradesh,kurnool,kodumur,semi-critical
andhra pradesh,kurnool,koilkuntla,safe
andhra pradesh,kurnool,kolimigundla,safe
andhra pradesh,kurnool,kosigi,safe
andhra pradesh,kurnool,kothapalle,safe
andhra pradesh,kurnool,kowthalam,safe
andhra pradesh,kurnool,krishnagiri,safe
andhra pradesh,kurnool,kurnool mandal,safe
andhra pradesh,kurnool,maddikera east,safe
andhra pradesh,kurnool,mahanandi,safe
andhra pradesh,kurnool,mantralayam,safe
andhra pradesh,kurnool,midthur,safe
andhra pradesh,kurnool,nandavaram,safe
andhra pradesh,kurnool,nandi kotkur,semi-critical
andhra pradesh,kurnool,nandyal,safe
andhra pradesh,kurnool,orvakal,semi-critical
andhra pradesh,kurnool,owk,safe
andhra pradesh,kurnool,pagidyala,safe
andhra pradesh,kurnool,pamulapadu,safe
andhra pradesh,kurnool,panyam,safe
andhra pradesh,kurnool,pattikanda,safe
andhra pradesh,kurnool,peapally,semi-critical
andhra pradesh,kurnool,pedda kadubur,safe
andhra pradesh,kurnool,rudravaram,safe
andhra pradesh,kurnool,sanjamala,safe
andhra pradesh,kurnool,sirvel,safe
andhra pradesh,kurnool,srisailam,safe
andhra pradesh,kurnool,tuggali,safe
andhra pradesh,kurnool,uyyalawada,safe
andhra pradesh,kurnool,veldurthi (kurnool),safe
andhra pradesh,kurnool,velgode,safe
andhra pradesh,kurnool,yemmiganur,safe
andhra pradesh,nellore,allur,safe
andhra pradesh,nellore,ananthasagaram,safe
andhra pradesh,nellore,anumasamudrampeta,safe
andhra pradesh,nellore,atmakur (nellore),safe
andhra pradesh,nellore,balayapalle,safe
andhra pradesh,nellore,bogole,safe
andhra pradesh,nellore,bucchireddipalem,safe
andhra pradesh,nellore,chejerla,safe
andhra pradesh,nellore,chillakur,safe
andhra pradesh,nellore,chittamur,safe
andhra pradesh,nellore,dagadarthi,safe
andhra pradesh,nellore,dakkili,safe
andhra pradesh,nellore,doravarisatram,safe
andhra pradesh,nellore,duttalur,safe
andhra pradesh,nellore,gudur,safe
andhra pradesh,nellore,indukurpet,safe
andhra pradesh,nellore,kaligiri,safe
andhra pradesh,nellore,kaluvoya,safe
andhra pradesh,nellore,kavali,safe
andhra pradesh,nellore,kodavalur,safe
andhra pradesh,nellore,kondapuram (nellore),safe
andhra pradesh,nellore,kota,safe
andhra pradesh,nellore,kovur,safe
andhra pradesh,nellore,manubolu,safe
andhra pradesh,nellore,marripadu,safe
andhra pradesh,nellore,muthukur,safe
andhra pradesh,nellore,naidupeta,semi-critical
andhra pradesh,nellore,nellore mandal,safe
andhra pradesh,nellore,ojili,safe
andhra pradesh,nellore,pellakur,safe
andhra pradesh,nellore,podlakur,safe
andhra pradesh,nellore,rapur,safe
andhra pradesh,nellore,sangam,safe
andhra pradesh,nellore,seetharamapuram,safe
andhra pradesh,nellore,sullurpeta,safe
andhra pradesh,nellore,sydapuram,safe
andhra pradesh,nellore,tada,safe
andhra pradesh,nellore,thotapalligudur,safe
andhra pradesh,nellore,udayagiri,safe
andhra pradesh,nellore,vakadu,safe
andhra pradesh,nellore,varikuntapadu,safe
andhra pradesh,nellore,venkatachalam,safe
andhra pradesh,nellore,venkatagiri,safe
andhra pradesh,nellore,vidavalur,safe
andhra pradesh,nellore,vinjamur,safe
andhra pradesh,prakasam,addanki,safe
andhra pradesh,prakasam,ardhaveedu,safe
andhra pradesh,prakasam,ballikuruva,safe
andhra pradesh,prakasam,bestavaripeta,over-exploited
andhra pradesh,prakasam,chadrasekarapuram,safe
andhra pradesh,prakasam,chimakurthi,safe
andhra pradesh,prakasam,chinaganjam,safe
andhra pradesh,prakasam,chirala,safe
andhra pradesh,prakasam,cumbum,semi-critical
andhra pradesh,prakasam,darsi,safe
andhra pradesh,prakasam,donakonda,safe
andhra pradesh,prakasam,dornala,semi-critical
andhra pradesh,prakasam,giddaluru,over-exploited
andhra pradesh,prakasam,gudluru,safe
andhra pradesh,prakasam,hanumanthunipadu,safe
andhra pradesh,prakasam,inkollu,safe
andhra pradesh,prakasam,janakavarampangulu,safe
andhra pradesh,prakasam,kandukur,safe
andhra pradesh,prakasam,kanigiri,safe
andhra pradesh,prakasam,karamchedu,saline
andhra pradesh,prakasam,komarolu,semi-critical
andhra pradesh,prakasam,konakanamitla,safe
andhra pradesh,prakasam,kondapi,safe
andhra pradesh,prakasam,korisapadu,safe
andhra pradesh,prakasam,kothapatnam,safe
andhra pradesh,prakasam,kurichedu,safe
andhra pradesh,prakasam,lingasamudram,safe
andhra pradesh,prakasam,maddipadu,safe
andhra pradesh,prakasam,marripudi,safe
andhra pradesh,prakasam,martur,safe
andhra pradesh,prakasam,mundlamuru,safe
andhra pradesh,prakasam,naguluppalapadu,safe
andhra pradesh,prakasam,ongole,safe
andhra pradesh,prakasam,pamur,safe
andhra pradesh,prakasam,parchur,safe
andhra pradesh,prakasam,pedaaraveedu,over-exploited
andhra pradesh,prakasam,pedacherlopalle,safe
andhra pradesh,prakasam,podili,safe
andhra pradesh,prakasam,ponnaluru,safe
andhra pradesh,prakasam,pullalacheruvu,safe
andhra pradesh,prakasam,racherla,over-exploited
andhra pradesh,prakasam,santhamaguluru,safe
andhra pradesh,prakasam,santhanuthlapadu,safe
andhra pradesh,prakasam,singarayakonda,safe
andhra pradesh,prakasam,tangutur,safe
andhra pradesh,prakasam,tarlapadu,semi-critical
andhra pradesh,prakasam,thallur,safe
andhra pradesh,prakasam,tripuranthakam,safe
andhra pradesh,prakasam,ulavapadu,safe
andhra pradesh,prakasam,veligandla,safe
andhra pradesh,prakasam,vetapalem,safe
andhra pradesh,prakasam,voletivaripalem,safe
andhra pradesh,prakasam,yeddanapudi,safe
andhra pradesh,prakasam,yerragondapalem,semi-critical
andhra pradesh,prakasam,zarugumilli,safe
andhra pradesh,srikakulam,amadalavalasa,safe
andhra pradesh,srikakulam,bhamini,safe
andhra pradesh,srikakulam,burja,safe
andhra pradesh,srikakulam,etcherla,safe
andhra pradesh,srikakulam,ganguvari singadam,critical
andhra pradesh,srikakulam,gara,safe
andhra pradesh,srikakulam,hiramandalam,safe
andhra pradesh,srikakulam,ichchapuram,safe
andhra pradesh,srikakulam,jalumuru,safe
andhra pradesh,srikakulam,kanchili,safe
andhra pradesh,srikakulam,kaviti,semi-critical
andhra pradesh,srikakulam,kotabommal,semi-critical
andhra pradesh,srikakulam,kothuru,safe
andhra pradesh,srikakulam,laveru,over-exploited
andhra pradesh,srikakulam,laxminarasampet,safe
andhra pradesh,srikakulam,mandasa,safe
andhra pradesh,srikakulam,meliaputti,safe
andhra pradesh,srikakulam,nandigam,safe
andhra pradesh,srikakulam,narasannapeta,safe
andhra pradesh,srikakulam,palakonda,safe
andhra pradesh,srikakulam,palasa,safe
andhra pradesh,srikakulam,pathapatnam,safe
andhra pradesh,srikakulam,polaki,safe
andhra pradesh,srikakulam,ponduru,semi-critical
andhra pradesh,srikakulam,rajam,semi-critical
andhra pradesh,srikakulam,ranastalam,over-exploited
andhra pradesh,srikakulam,regidiamadalavalasa,safe
andhra pradesh,srikakulam,santhabommali,safe
andhra pradesh,srikakulam,santhakaviti,safe
andhra pradesh,srikakulam,saravakota,safe
andhra pradesh,srikakulam,seethampeta,safe
andhra pradesh,srikakulam,sompeta,safe
andhra pradesh,srikakulam,srikakulam mandal,safe
andhra pradesh,srikakulam,tekkali,safe
andhra pradesh,srikakulam,vajrapukothuru,safe
andhra pradesh,srikakulam,vangara,safe
andhra pradesh,srikakulam,veeraghattam,safe
andhra pradesh,visakhapatnam,anakapalle,safe
andhra pradesh,visakhapatnam,anandapuram,safe
andhra pradesh,visakhapatnam,ananthagiri,safe
andhra pradesh,visakhapatnam,araku valley,safe
andhra pradesh,visakhapatnam,atchutapuram,safe
andhra pradesh,visakhapatnam,bheemunipatnam,safe
andhra pradesh,visakhapatnam,butchayyapeta,safe
andhra pradesh,visakhapatnam,cheedikada,safe
andhra pradesh,visakhapatnam,chintapalle,safe
andhra pradesh,visakhapatnam,chodavaram,safe
andhra pradesh,visakhapatnam,devarapalle (visakhapa,safe
andhra pradesh,visakhapatnam,dumbriguda,safe
andhra pradesh,visakhapatnam,gangaraju madugula,safe
andhra pradesh,visakhapatnam,golugonda,safe
andhra pradesh,visakhapatnam,gudem kothaveedhi,safe
andhra pradesh,visakhapatnam,gvmc(gajuwaka),safe
andhra pradesh,visakhapatnam,gvmc(pedagantyada),safe
andhra pradesh,visakhapatnam,gvmc(visakhapatnam_r,safe
andhra pradesh,visakhapatnam,gvmc(visakhapatnam_u,safe
andhra pradesh,visakhapatnam,hukumpeta,safe
andhra pradesh,visakhapatnam,k kotapadu,safe
andhra pradesh,visakhapatnam,kasimkota,safe
andhra pradesh,visakhapatnam,kotauratla,safe
andhra pradesh,visakhapatnam,koyyuru,safe
andhra pradesh,visakhapatnam,madugula,safe
andhra pradesh,visakhapatnam,makavarapalem,safe
andhra pradesh,visakhapatnam,munagapaka,semi-critical
andhra pradesh,visakhapatnam,munchingiputtu,safe
andhra pradesh,visakhapatnam,nakkapalle,safe
andhra pradesh,visakhapatnam,narsipatnam,safe
andhra pradesh,visakhapatnam,nathavaram,safe
andhra pradesh,visakhapatnam,paderu,safe
andhra pradesh,visakhapatnam,padmanabham,safe
andhra pradesh,visakhapatnam,paravada,safe
andhra pradesh,visakhapatnam,payakaraopeta,safe
andhra pradesh,visakhapatnam,pedabayalu,safe
andhra pradesh,visakhapatnam,pendurthi,safe
andhra pradesh,visakhapatnam,rambilli,safe
andhra pradesh,visakhapatnam,ravikamatham,safe
andhra pradesh,visakhapatnam,rolugunta,safe
